geoAbb,seriesDate,dateLabel,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
CA,2023.75,2023 Q4,A suffisamment de liquidités,0.921,0.779,0.89,0.875,B,A,A,B
CA,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0.005,0.032,0.019,0.032,A,A,A,A
CA,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0.004,0.029,0.006,0.016,A,A,A,A
CA,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0.01,0.046,0.033,0.043,A,A,A,B
CA,2023.75,2023 Q4,Statut des liquidités inconnu,0.059,0.114,0.052,0.034,B,A,A,A
NL,2023.75,2023 Q4,A suffisamment de liquidités,0.897,0.82,0.928,NA,C,A,B,NA
NL,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0.103,0.019,0.004,0,C,A,A,A
NL,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.011,0.026,NA,A,A,A,NA
NL,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.024,0,0,A,A,A,A
NL,2023.75,2023 Q4,Statut des liquidités inconnu,0,0.125,0.042,0.009,A,A,A,A
PE,2023.75,2023 Q4,A suffisamment de liquidités,1,0.833,0.877,0.9,A,A,C,C
PE,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.012,0,0.046,A,A,A,B
PE,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.015,0.022,0,A,A,A,A
PE,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.031,0.007,0,A,A,A,A
PE,2023.75,2023 Q4,Statut des liquidités inconnu,0,0.108,0.094,0.054,A,A,C,B
NS,2023.75,2023 Q4,A suffisamment de liquidités,0.767,0.804,0.93,0.959,E,A,B,A
NS,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0.022,0.031,0.01,0,A,A,A,A
NS,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0.153,0.005,0.015,0,E,A,A,A
NS,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.025,0.002,0,A,A,A,A
NS,2023.75,2023 Q4,Statut des liquidités inconnu,0.058,0.134,0.044,0.041,C,A,B,A
NB,2023.75,2023 Q4,A suffisamment de liquidités,NA,0.764,0.816,NA,NA,A,C,NA
NB,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.038,0.014,0,A,A,A,A
NB,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0.042,0.011,0.018,0,B,A,A,A
NB,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.024,0.055,0.015,A,A,B,A
NB,2023.75,2023 Q4,Statut des liquidités inconnu,NA,0.162,0.098,NA,NA,A,C,NA
QC,2023.75,2023 Q4,A suffisamment de liquidités,0.989,0.791,0.971,0.926,A,A,A,B
QC,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.031,0.007,0.043,A,A,A,B
QC,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.019,0.001,0.005,A,A,A,A
QC,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.055,0.016,0.007,A,A,A,A
QC,2023.75,2023 Q4,Statut des liquidités inconnu,0.011,0.104,0.005,0.02,A,A,A,A
ON,2023.75,2023 Q4,A suffisamment de liquidités,0.982,0.775,0.916,0.899,A,A,B,C
ON,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0.008,0.033,0.009,0.06,A,A,A,B
ON,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.034,0.001,0.016,A,A,A,A
ON,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.036,0.032,0.004,A,A,A,A
ON,2023.75,2023 Q4,Statut des liquidités inconnu,0.011,0.122,0.041,0.022,A,A,A,A
MB,2023.75,2023 Q4,A suffisamment de liquidités,NA,0.858,0.787,0.943,NA,A,C,B
MB,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.02,0.066,0.007,A,A,B,A
MB,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.009,0.047,0,A,A,B,A
MB,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.034,0.061,0.031,A,A,B,B
MB,2023.75,2023 Q4,Statut des liquidités inconnu,NA,0.08,0.038,0.019,NA,A,A,A
SK,2023.75,2023 Q4,A suffisamment de liquidités,0.916,0.793,0.905,0.898,D,A,B,D
SK,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.028,0.012,0,A,A,A,A
SK,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.025,0.001,0.003,A,A,A,A
SK,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.033,0.007,0.097,A,A,A,D
SK,2023.75,2023 Q4,Statut des liquidités inconnu,0.084,0.121,0.073,0.003,D,A,B,A
AB,2023.75,2023 Q4,A suffisamment de liquidités,0.865,0.776,0.754,0.935,E,A,E,B
AB,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.027,0.006,0.003,A,A,A,A
AB,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0.01,0.039,0.002,0,A,A,A,A
AB,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0.125,0.054,0.079,0,E,A,C,A
AB,2023.75,2023 Q4,Statut des liquidités inconnu,0,0.103,0.16,0.062,A,A,D,B
BC,2023.75,2023 Q4,A suffisamment de liquidités,0.994,0.75,0.871,NA,A,A,C,NA
BC,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.04,0.061,0.022,A,A,B,A
BC,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.031,0.001,0.002,A,A,A,A
BC,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.064,0.022,NA,A,A,A,NA
BC,2023.75,2023 Q4,Statut des liquidités inconnu,0.006,0.116,0.045,0.003,A,A,B,A
YT,2023.75,2023 Q4,A suffisamment de liquidités,NA,0.775,0.929,1,NA,C,B,A
YT,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.062,0.034,0,A,B,B,A
YT,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,NA,0.017,0.018,0,NA,A,A,A
YT,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.066,0,0,A,B,A,A
YT,2023.75,2023 Q4,Statut des liquidités inconnu,0,0.08,0.019,0,A,B,A,A
NT,2023.75,2023 Q4,A suffisamment de liquidités,NA,0.865,0.899,0.857,NA,B,B,D
NT,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,NA,0.035,0.065,0,NA,B,B,A
NT,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.007,0,0.143,A,A,A,D
NT,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.019,0.014,0,A,A,A,A
NT,2023.75,2023 Q4,Statut des liquidités inconnu,NA,0.074,0.021,0,NA,A,A,A
NU,2023.75,2023 Q4,A suffisamment de liquidités,0.873,0.845,0.926,1,E,B,B,A
NU,2023.75,2023 Q4,Pourra avoir accès à suffisamment de liquidités,0,0.008,0,0,A,A,A,A
NU,2023.75,2023 Q4,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.028,0,0,A,A,A,A
NU,2023.75,2023 Q4,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.022,0,0,A,A,A,A
NU,2023.75,2023 Q4,Statut des liquidités inconnu,0.127,0.097,0.074,0,E,A,B,A